job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y,id_var
services,married,high.school,no,no,yes,telephone,may,mon,nonexistent,no,65790
services,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,55643
admin.,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no,66189
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,70807
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,42625
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,44747
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,45144
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,38781
blue-collar,single,high.school,no,no,yes,telephone,may,mon,nonexistent,no,58825
housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,66848
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no,54767
retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,no,47866
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no,47190
blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,nonexistent,no,39213
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,no,38823
management,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,39121
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,58215
retired,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,37874
technician,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,56369
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,45870
technician,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,no,42379
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,52325
technician,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,51805
unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,nonexistent,no,35457
admin.,married,unknown,no,no,no,telephone,may,mon,nonexistent,no,36159
blue-collar,married,unknown,no,no,no,telephone,may,mon,nonexistent,no,63286
management,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,39088
blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,nonexistent,no,62581
unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,49345
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,57141
